Smiles,solvent,ppm_values
COP(=O)(OC)[C@@H]([BH2-][P+](C)(c1ccccc1)c1ccccc1)c1ccc2c(c1)Cc1ccccc1-2,[2H]C(Cl)(Cl)Cl,-25.8
CCCCCCCCCCCC[N+](C)([BH2-]C#N)CB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,-15.3
C[SiH2]CCB(C(C)[SiH2]C)C(C)[SiH2]C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],80.3
C=CCB1Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1,[2H]C(Cl)(Cl)Cl,28.2
C[N+](C)(C)C.Fc1ccc(SCCC#C[B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-13.4
CC([BH2-][N+](C)(C)C)c1ccccc1,[2H]C(Cl)(Cl)Cl,0.75
c1ccc(CNB2OCCO2)cc1,[2H]C(Cl)(Cl)Cl,25.7
c1ccc2c(c1)OB(c1cc(B3Oc4ccccc4S3)cc(B3Oc4ccccc4S3)c1)S2,[2H]C(Cl)(Cl)Cl,51.0
CCCC[B-]1(CC)CCCC2=[N+]1CC=C2,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-5.1
CN1CC(=O)OB(C(CO)C(=O)C2CC2)OC(=O)C1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],11.08
ClB(Cl)Oc1c(-c2ccccc2)cccc1-c1ccccc1,[2H]C(Cl)(Cl)Cl,31.3
[BH3-][NH+](C(C)C)C(C)(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-23.72
O=S1(=Nc2ccc3n2[B-](F)(c2ccccc2)[N+]2=C(Cl)C=CC2=C3c2ccccc2)c2ccccc2-c2ccccc21,[2H]C(Cl)(Cl)Cl,3.7
CC1(C)OB(N(Cc2ccccc2)C(=S)P(c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,24.5
Cc1ccc([C@]2(B3OC(C)(C)C(C)(C)O3)CC(=O)[C@H]2C)cc1,[2H]C(Cl)(Cl)Cl,33.1
CC(=O)C([I+]c1ccc(Cl)cc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1.F[B-](F)(F)F,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],-1.22
CC(C)C([NH+](C)C)[B-](O)(C(F)(F)F)C(F)(F)F,[2H]C([2H])([2H])C#N,-9.2
Cc1ccc(C2CC2B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.22
