Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
Fc1c(F)c(F)c([B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[PH+](C2CCCCC2)C2CCCCC2)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-13.5,3472
Fc1ccc([B-]23OCC[N+]4=Cc5ccccc5O[B-]4(c4ccc(F)cc4F)OCC[N+]2=Cc2ccccc2O3)c(F)c1,CDCl3,[2H]C(Cl)(Cl)Cl,2.9,3473
Fc1ccc([B-]23OCC[N+]4=Cc5ccccc5O[B-]4(c4ccc(F)c(F)c4)OCC[N+]2=Cc2ccccc2O3)cc1F,CDCl3,[2H]C(Cl)(Cl)Cl,2.2,3474
Fc1cc(F)cc([B-]23OCC[N+]4=Cc5ccccc5O[B-]4(c4cc(F)cc(F)c4)OCC[N+]2=Cc2ccccc2O3)c1,CDCl3,[2H]C(Cl)(Cl)Cl,2.7,3475
[BH2-]1[P+](c2ccccc2)(c2ccccc2)c2ccccc2[P+]1(c1ccccc1)c1ccccc1.[Br-],CDCl3,[2H]C(Cl)(Cl)Cl,-32.5,3477
Brc1ccc([B-]23OCC[N+]4=Cc5ccccc5O[B-]4(c4ccc(Br)cc4)OCC[N+]2=Cc2ccccc2O3)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,2.4,3478
Clc1cccc([B@@-]23OCC[N+]4=Cc5ccccc5O[B@@-]4(c4cccc(Cl)c4)OCC[N+]2=Cc2ccccc2O3)c1,CDCl3,[2H]C(Cl)(Cl)Cl,6.6,3479
Clc1ccc([B@@-]23OCC[N+]4=Cc5ccccc5O[B@@-]4(c4ccc(Cl)cc4)OCC[N+]2=Cc2ccccc2O3)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,2.14,3480
c1ccc2c(c1)OB(CC(CCC(CB1Oc3ccccc3O1)B1Oc3ccccc3O1)B1Oc3ccccc3O1)O2,CDCl3,[2H]C(Cl)(Cl)Cl,35,3481
CC(C)(C)P(=[NH+][B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(C(C)(C)C)C(C)(C)C,CD2Cl2,[2H]C([2H])(Cl)Cl,-9.5,3484
Nc1cccc([B@@-]23OCC[N+]4=Cc5ccccc5O[B@@-]4(c4cccc(N)c4)OCC[N+]2=Cc2ccccc2O3)c1,d6-DMSO,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.8,3488
