Smiles,solvent,B_count,ppm_values
CC1(C)OB(N(C(=O)P(c2ccccc2)c2ccccc2)C2CCCCC2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,24.7
CC(C)(C)N(B1OC(C)(C)C(C)(C)O1)C(=O)P(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,25.2
CC1(C)OB(N(C(=S)P(c2ccccc2)c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,24.1
CC1(C)OB(N(Cc2ccccc2)C(=S)P(c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,24.5
CC(C)(C)N(B1OC(C)(C)C(C)(C)O1)C(=S)P(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,23.4
CC1=CC(=O)C(B2OC(C)(C)C(C)(C)O2)=C(C)C1=O,[2H]C(Cl)(Cl)Cl,1,28.3
COc1cc(C)c(OC)c(C)c1B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,31.8
CC1=CC(=O)C([B-](F)(F)F)=C(C)C1=O.[K+],[2H]C(Cl)(Cl)Cl,1,2
COc1cc(C)c(OC)c(C)c1B1OC(=O)CN(C)CC(=O)O1,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],1,12.3
CC1=CC(=O)C(B2OC(=O)CN(C)CC(=O)O2)=C(C)C1=O,[2H]C([2H])([2H])C#N,1,11.9
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,33.27
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc(Cl)cc1,[2H]C(Cl)(Cl)Cl,1,33.28
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc2ccccc2c1,[2H]C(Cl)(Cl)Cl,1,33.21
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc(Br)cc1,[2H]C(Cl)(Cl)Cl,1,33.15
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc(C)cc1,[2H]C(Cl)(Cl)Cl,1,22.4
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccccc1F,[2H]C(Cl)(Cl)Cl,1,32.77
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc(F)cc1,[2H]C(Cl)(Cl)Cl,1,33.28
C=C(CB1OC(C)(C)C(C)(C)O1)c1cccc(C(F)(F)F)c1,[2H]C(Cl)(Cl)Cl,1,22.18
C=C(CB1OC(C)(C)C(C)(C)O1)c1cc(C)ccc1C,[2H]C(Cl)(Cl)Cl,1,22.44
C=C(CB1OC(C)(C)C(C)(C)O1)c1ccc(C(C)(C)C)cc1,[2H]C(Cl)(Cl)Cl,1,33.2
CC(C)=C(CB1OC(C)(C)C(C)(C)O1)c1cccc(Cl)c1,[2H]C(Cl)(Cl)Cl,1,32.9
CC(C)=C(CB1OC(C)(C)C(C)(C)O1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,33.04
COc1ccc(/C(=C/Cc2ccccc2)CB2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,1,33.03
C=C(CB1OC(C)(C)C(C)(C)O1)c1cccc(OC)c1,[2H]C(Cl)(Cl)Cl,1,33.27
OB(c1ccccc1Cl)c1ccccc1Cl,[2H]C(Cl)(Cl)Cl,1,45
OB(c1cc(F)c(F)c(F)c1)c1cc(F)c(F)c(F)c1,[2H]C(Cl)(Cl)Cl,1,44
OB(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,46
