compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
49-BBN,CC(C)[C@H]1COc2c3[n+](c([BH-]4C5CCCC4CCC5)n21)[C@@H](C(C)C)CO3,10-1039_c001466d,96,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-19.1
3a,C=C(CC(=O)OC)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,29.58
3c,C=C(CC(=O)OCCCc1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,29.69
3b,C=C(CC(=O)OCC)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,29.57
3d,COC(=O)C/C(=C\c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.19
3e,CCOC(=O)C/C(=C\c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.2
3f,CC1(C)OB(/C(=C/c2ccccc2)CC(=O)OCCCc2ccccc2)OC1(C)C,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.19
3g,C/C=C(\CC(=O)OC)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.12
3h,C/C=C(\CC(=O)OCC)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,29.98
3i,C/C=C(\CC(=O)OC(C)C)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.01
3j,C/C=C(\CC(=O)OC(C)(C)C)B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.05
3k,C/C=C(\CC(=O)OCc1ccccc1[N+](=O)[O-])B1OC(C)(C)C(C)(C)O1,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,29.88
3l,C/C=C(/B1OC(C)(C)C(C)(C)O1)C(C)C(=O)OCC,10-1039_c0cc02270e,160,[2H]C(Cl)(Cl)Cl,30.05
,c1ccc(P(c2ccccc2)c2ccccc2B2OCCO2)cc1,10-1039_c2cc30399j,160.5,[2H]C(Cl)(Cl)Cl,31.8
,CP(C)c1ccccc1B1OCCO1,10-1039_c2cc30399j,160.5,[2H]C(Cl)(Cl)Cl,32
,CP(C)c1ccccc1B1OC(C)(C)C(C)(C)O1,10-1039_c2cc30399j,160.5,[2H]C(Cl)(Cl)Cl,31.3
,CP(C)c1ccccc1B1OCC(C)(C)CO1,10-1039_c2cc30399j,96.3,[2H]C(Cl)(Cl)Cl,29
8,C/C1=C/C[P+](C)(C)c2ccccc2[B-]2(O1)OC(C)(C)C(C)(C)O2,10-1039_c2cc30399j,160.5,[2H]C([2H])([2H])C#N,6.6
,CCC(=O)CC(C)B1OC(C)(C)C(C)(C)O1,10-1039_c2ob26899j,,[2H]C(Cl)(Cl)Cl,34.08
,F[B-](F)(F)/C=C/c1ccc(OC(F)(F)F)cc1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],3.06
,CC1(C)OB(/C=C/c2ccc(OC(F)(F)F)cc2)OC1(C)C,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,30
,CC1(C)OB(/C=C/c2ccc(Br)cc2)OC1(C)C,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,29.6
2e,F[B-](F)(F)/C=C/c1ccc(Br)cc1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.36
,CC1Nc2cc(/C=C/B3OC(C)(C)C(C)(C)O3)cnc2S1,10-1039_c2ob26899j,,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],29.5
2t,CC1Nc2cc(/C=C/[B-](F)(F)F)cnc2S1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.8
